year,month,month_number,generation_mln_kwh,thermal_mln_kwh,wind_mln_kwh,hydro_mln_kwh,other_generation_mln_kwh,hydro_regulatory_mln_kwh,hydro_seasonal_mln_kwh,hydro_small_mln_kwh,import_mln_kwh,transit_mln_kwh,total_resource_mln_kwh,plant_losses_self_consumption_mln_kwh,delivery_to_network_mln_kwh,supplied_to_consumers_mln_kwh,distribution_companies_mln_kwh,direct_customers_mln_kwh,self_consumption_stopped_plants_mln_kwh,export_mln_kwh,supplied_consumers_and_export_mln_kwh,transportation_expenses_mln_kwh,total_demand_including_losses_mln_kwh,total_consumption_mln_kwh,source_name,source_url,notes,date,net_imports_mln_kwh,hydro_share_pct,thermal_share_pct,wind_share_pct,other_generation_share_pct,import_dependency_pct,export_share_of_generation_pct,transportation_expenses_share_pct
2025,January,1,923.539,364.82,6.523,552.196,0.0,193.043,298.092,61.061,334.549,0.0,1258.088,22.404,1235.684,1220.609,1002.449,216.749,1.412,0.341,1220.95,14.733,1235.684,1257.747,ESCO,https://esco.ge/en/energy-balance/by-year-1/balance-2025,manual entry from ESCO 2025 electricity balance,2025-01-01,334.20799999999997,59.79,39.5,0.71,0.0,27.07,0.04,1.19
2025,February,2,859.482,411.671,5.613,442.198,0.0,195.163,203.829,43.206,388.082,0.0,1247.564,25.671,1221.893,1203.607,991.575,210.477,1.555,0.075,1203.682,18.211,1221.893,1247.489,ESCO,https://esco.ge/en/energy-balance/by-year-1/balance-2025,manual entry from ESCO 2025 electricity balance,2025-02-01,388.007,51.45,47.9,0.65,0.0,31.76,0.01,1.49
2025,March,3,1026.188,188.825,6.47,830.893,0.0,244.227,488.356,98.31,251.5,20.454,1298.142,21.145,1276.996,1231.559,946.117,283.627,1.815,6.794,1258.807,18.189,1276.996,1270.894,ESCO,https://esco.ge/en/energy-balance/by-year-1/balance-2025,manual entry from ESCO 2025 electricity balance,2025-03-01,244.706,80.97,18.4,0.63,0.0,19.69,0.66,1.42
2025,April,4,1167.611,0.313,6.935,1160.363,0.0,371.626,645.094,143.643,0.352,159.224,1327.187,16.04,1311.147,1125.811,840.908,283.344,1.56,0.01,1285.045,26.102,1311.147,1167.953,ESCO,https://esco.ge/en/energy-balance/by-year-1/balance-2025,manual entry from ESCO 2025 electricity balance,2025-04-01,0.34199999999999997,99.38,0.03,0.59,0.0,0.03,0.0,1.99
2025,May,5,1306.732,0.0,7.847,1298.885,0.0,450.417,688.998,159.47,13.672,43.205,1363.608,17.443,1346.166,1072.433,775.43,295.301,1.702,201.339,1316.976,29.189,1346.166,1119.065,ESCO,https://esco.ge/en/energy-balance/by-year-1/balance-2025,manual entry from ESCO 2025 electricity balance,2025-05-01,-187.667,99.4,0.0,0.6,0.0,1.02,15.41,2.17
2025,June,6,1342.523,5.953,9.035,1327.535,0.0,710.457,501.013,116.065,1.467,112.571,1456.56,16.44,1440.12,1060.702,762.59,295.971,2.141,234.881,1408.154,31.966,1440.12,1109.109,ESCO,https://esco.ge/en/energy-balance/by-year-1/balance-2025,manual entry from ESCO 2025 electricity balance,2025-06-01,-233.414,98.88,0.44,0.67,0.0,0.1,17.5,2.22
2025,July,7,1382.259,55.833,6.081,1320.345,0.0,788.403,434.471,97.472,12.765,86.744,1481.767,19.439,1462.329,1290.9,971.055,318.009,1.836,51.608,1429.252,33.077,1462.329,1343.416,ESCO,https://esco.ge/en/energy-balance/by-year-1/balance-2025,manual entry from ESCO 2025 electricity balance,2025-07-01,-38.842999999999996,95.52,4.04,0.44,0.0,0.87,3.73,2.26
2025,August,8,1267.252,316.568,8.036,942.302,0.346,555.674,325.942,60.685,107.708,0.0,1374.96,29.246,1345.714,1311.975,992.782,317.521,1.672,10.029,1322.004,23.71,1345.714,1364.932,ESCO,https://esco.ge/en/energy-balance/by-year-1/balance-2025,manual entry from ESCO 2025 electricity balance,2025-08-01,97.679,74.36,24.98,0.63,0.03,8.0,0.79,1.76
2025,September,9,1107.063,294.371,7.164,804.746,0.782,411.753,320.875,72.118,22.586,0.0,1129.649,23.966,1105.684,1078.252,789.89,286.823,1.54,5.703,1083.956,21.728,1105.684,1123.946,ESCO,https://esco.ge/en/energy-balance/by-year-1/balance-2025,manual entry from ESCO 2025 electricity balance,2025-09-01,16.883,72.69,26.59,0.65,0.07,2.04,0.52,1.97
2025,October,10,1154.948,231.792,7.097,914.761,1.298,492.149,324.299,98.313,16.495,200.371,1371.814,21.459,1350.355,1126.921,831.96,293.563,1.398,0.226,1327.518,22.837,1350.355,1171.217,ESCO,https://esco.ge/en/energy-balance/by-year-1/balance-2025,manual entry from ESCO 2025 electricity balance,2025-10-01,16.269000000000002,79.2,20.07,0.61,0.11,1.22,0.02,1.69
2025,November,11,1129.109,334.853,2.891,790.147,1.218,480.719,237.826,71.602,111.248,42.763,1283.121,23.727,1259.393,1199.593,887.765,310.498,1.33,0.132,1242.488,16.906,1259.393,1240.311,ESCO,https://esco.ge/en/energy-balance/by-year-1/balance-2025,manual entry from ESCO 2025 electricity balance,2025-11-01,111.116,69.98,29.66,0.26,0.11,8.83,0.01,1.34
2025,December,12,1170.974,562.08,5.711,602.255,0.928,344.522,206.767,50.966,297.104,0.0,1468.078,32.923,1435.155,1413.91,1094.64,317.915,1.355,0.022,1413.932,21.223,1435.155,1468.055,ESCO,https://esco.ge/en/energy-balance/by-year-1/balance-2025,manual entry from ESCO 2025 electricity balance,2025-12-01,297.082,51.43,48.0,0.49,0.08,20.7,0.0,1.48
2024,January,1,1174.902,427.768,5.403,741.732,-0.001,325.352,345.461,70.919,160.127,87.649,1422.679,26.65,1396.028,1278.477,1051.569,225.088,1.821,8.478,1374.605,21.424,1396.028,1326.551,ESCO Electricity Balance 2024,PASTE_ESCO_2024_URL_HERE,Manual extraction from ESCO electricity balance table,2024-01-01,151.649,63.13,36.41,0.46,-0.0,11.47,0.72,1.53
2024,February,2,1021.952,341.975,5.669,674.308,0.0,282.396,326.514,65.399,172.791,89.083,1283.826,24.111,1259.715,1147.645,913.005,232.876,1.765,4.16,1240.888,18.827,1259.715,1190.583,ESCO Electricity Balance 2024,PASTE_ESCO_2024_URL_HERE,Manual extraction from ESCO electricity balance table,2024-02-01,168.631,65.98,33.46,0.55,0.0,13.72,0.41,1.49
2024,March,3,1130.057,395.175,8.354,726.528,0.0,291.083,358.366,77.08,105.525,125.285,1360.868,25.568,1335.3,1181.904,937.061,243.645,1.198,7.661,1314.85,20.449,1335.3,1227.922,ESCO Electricity Balance 2024,PASTE_ESCO_2024_URL_HERE,Manual extraction from ESCO electricity balance table,2024-03-01,97.864,64.29,34.97,0.74,0.0,7.9,0.68,1.53
2024,April,4,1085.499,73.963,8.015,1003.522,-0.001,278.29,592.021,133.211,6.55,29.419,1121.468,16.677,1104.791,994.932,750.725,242.619,1.589,58.02,1082.372,22.42,1104.791,1034.029,ESCO Electricity Balance 2024,PASTE_ESCO_2024_URL_HERE,Manual extraction from ESCO electricity balance table,2024-04-01,-51.470000000000006,92.45,6.81,0.74,-0.0,0.59,5.35,2.03
2024,May,5,1410.823,0.0,6.58,1404.243,0.0,648.096,618.98,137.167,7.888,0.0,1418.711,15.345,1403.366,1049.728,765.554,282.313,1.861,319.108,1368.836,34.53,1403.366,1099.603,ESCO Electricity Balance 2024,PASTE_ESCO_2024_URL_HERE,Manual extraction from ESCO electricity balance table,2024-05-01,-311.22,99.53,0.0,0.47,0.0,0.56,22.62,2.46
2024,June,6,1511.288,0.234,5.346,1505.708,0.0,850.568,525.392,129.748,4.096,59.633,1575.016,15.323,1559.693,1099.455,807.448,290.289,1.718,359.57,1518.658,41.035,1559.693,1155.813,ESCO Electricity Balance 2024,PASTE_ESCO_2024_URL_HERE,Manual extraction from ESCO electricity balance table,2024-06-01,-355.474,99.63,0.02,0.35,0.0,0.26,23.79,2.63
2024,July,7,1524.557,5.06,5.236,1514.261,0.0,965.452,445.666,103.144,7.649,0.0,1532.206,15.26,1516.947,1251.925,932.755,317.477,1.693,228.065,1479.991,36.956,1516.947,1304.141,ESCO Electricity Balance 2024,PASTE_ESCO_2024_URL_HERE,Manual extraction from ESCO electricity balance table,2024-07-01,-220.416,99.32,0.33,0.34,0.0,0.5,14.96,2.44
2024,August,8,1372.527,221.935,7.078,1143.514,0.0,716.796,342.982,83.737,0.744,320.731,1694.003,21.057,1672.946,1261.352,937.627,322.33,1.394,58.584,1640.668,32.278,1672.946,1314.687,ESCO Electricity Balance 2024,PASTE_ESCO_2024_URL_HERE,Manual extraction from ESCO electricity balance table,2024-08-01,-57.84,83.31,16.17,0.52,0.0,0.04,4.27,1.93
2024,September,9,1124.334,348.946,8.569,766.82,-0.001,437.709,260.674,68.437,28.588,362.518,1515.441,22.257,1493.183,1100.515,811.332,288.117,1.066,1.489,1464.523,28.661,1493.183,1151.433,ESCO Electricity Balance 2024,PASTE_ESCO_2024_URL_HERE,Manual extraction from ESCO electricity balance table,2024-09-01,27.099,68.2,31.04,0.76,-0.0,1.91,0.13,1.92
2024,October,10,959.092,267.528,6.026,685.538,0.0,270.831,314.57,100.137,179.145,0.0,1138.237,20.106,1118.131,1097.264,839.999,256.052,1.213,1.663,1098.927,19.204,1118.131,1136.574,ESCO Electricity Balance 2024,PASTE_ESCO_2024_URL_HERE,Manual extraction from ESCO electricity balance table,2024-10-01,177.482,71.48,27.89,0.63,0.0,16.02,0.17,1.72
2024,November,11,935.592,316.156,5.982,613.454,0.0,212.277,305.431,95.746,261.685,0.0,1197.278,22.973,1174.305,1157.4,936.76,219.276,1.364,0.277,1157.677,16.628,1174.305,1197.001,ESCO Electricity Balance 2024,PASTE_ESCO_2024_URL_HERE,Manual extraction from ESCO electricity balance table,2024-11-01,261.408,65.57,33.79,0.64,0.0,22.28,0.03,1.42
2024,December,12,983.518,413.458,5.308,564.752,0.0,175.307,314.541,74.904,292.735,0.0,1276.254,26.652,1249.602,1232.223,1008.539,222.048,1.637,0.3,1232.524,17.078,1249.602,1275.953,ESCO Electricity Balance 2024,PASTE_ESCO_2024_URL_HERE,Manual extraction from ESCO electricity balance table,2024-12-01,292.435,57.42,42.04,0.54,0.0,23.43,0.03,1.37
2023,January,1,1110.729,728.391,8.063,374.275,0.0,176.489,157.792,39.994,246.955,520.397,1878.081,37.612,1840.469,1283.13,1018.124,263.976,1.03,0.0,1803.527,36.942,1840.469,1357.684,ESCO Electricity Balance 2023,https://esco.ge/en/energy-balance/by-year-1/balansi-2023,Manual extraction from ESCO electricity balance table; corrected internal balance inconsistency,2023-01-01,246.955,33.7,65.58,0.73,0.0,13.42,0.0,2.01
2023,February,2,987.411,642.78,5.781,338.85,0.0,139.576,164.247,35.027,207.473,370.111,1564.995,33.257,1531.739,1128.049,905.251,221.691,1.107,1.359,1499.52,32.219,1531.739,1193.525,ESCO Electricity Balance 2023,https://esco.ge/en/energy-balance/by-year-1/balansi-2023,Manual extraction from ESCO electricity balance table; corrected internal balance inconsistency,2023-02-01,206.114,34.32,65.1,0.59,0.0,13.54,0.14,2.1
2023,March,3,1019.449,208.258,6.933,804.259,-0.001,184.526,515.597,104.135,145.901,444.774,1610.124,19.51,1590.615,1116.825,874.962,240.189,1.674,0.0,1561.599,29.016,1590.615,1165.351,ESCO Electricity Balance 2023,https://esco.ge/en/energy-balance/by-year-1/balansi-2023,Manual extraction from ESCO electricity balance table; corrected internal balance inconsistency,2023-03-01,145.901,78.89,20.43,0.68,-0.0,9.17,0.0,1.82
2023,April,4,1248.941,98.274,8.936,1141.73,0.001,460.761,555.298,125.671,0.065,97.793,1346.799,17.608,1329.191,1037.324,802.413,233.546,1.365,166.298,1301.416,27.775,1329.191,1082.708,ESCO Electricity Balance 2023,https://esco.ge/en/energy-balance/by-year-1/balansi-2023,Manual extraction from ESCO electricity balance table; corrected internal balance inconsistency,2023-04-01,-166.233,91.42,7.87,0.72,0.0,0.0,13.32,2.09
2023,May,5,1325.375,0.894,7.657,1316.824,0.0,604.894,575.708,136.222,0.0,65.111,1390.486,14.975,1375.511,1029.961,780.47,248.036,1.455,248.235,1343.306,32.205,1375.511,1077.141,ESCO Electricity Balance 2023,https://esco.ge/en/energy-balance/by-year-1/balansi-2023,Manual extraction from ESCO electricity balance table; corrected internal balance inconsistency,2023-05-01,-248.235,99.35,0.07,0.58,0.0,0.0,18.73,2.34
2023,June,6,1368.602,1.826,5.375,1361.402,-0.001,731.058,508.975,121.368,0.016,0.0,1368.618,14.43,1354.188,981.272,741.768,237.993,1.511,340.598,1321.87,32.318,1354.188,1028.02,ESCO Electricity Balance 2023,https://esco.ge/en/energy-balance/by-year-1/balansi-2023,Manual extraction from ESCO electricity balance table; corrected internal balance inconsistency,2023-06-01,-340.582,99.47,0.13,0.39,-0.0,0.0,24.89,2.39
2023,July,7,1541.369,131.53,8.557,1401.282,0.0,822.703,466.49,112.089,0.662,31.569,1573.599,19.678,1553.922,1101.663,839.566,260.437,1.66,384.219,1517.451,36.471,1553.922,1157.811,ESCO Electricity Balance 2023,https://esco.ge/en/energy-balance/by-year-1/balansi-2023,Manual extraction from ESCO electricity balance table; corrected internal balance inconsistency,2023-07-01,-383.557,90.91,8.53,0.56,0.0,0.04,24.93,2.35
2023,August,8,1462.813,162.079,6.673,1294.061,0.0,918.188,309.639,66.234,0.0,239.903,1702.716,19.115,1683.602,1212.543,954.098,256.731,1.714,195.561,1648.007,35.595,1683.602,1267.252,ESCO Electricity Balance 2023,https://esco.ge/en/energy-balance/by-year-1/balansi-2023,Manual extraction from ESCO electricity balance table; corrected internal balance inconsistency,2023-08-01,-195.561,88.46,11.08,0.46,0.0,0.0,13.37,2.11
2023,September,9,1117.897,301.945,8.37,807.582,0.0,533.387,213.496,60.698,0.0,299.63,1417.526,20.284,1397.242,938.21,755.556,181.509,1.145,131.917,1369.757,27.485,1397.242,985.977,ESCO Electricity Balance 2023,https://esco.ge/en/energy-balance/by-year-1/balansi-2023,Manual extraction from ESCO electricity balance table; corrected internal balance inconsistency,2023-09-01,-131.917,72.24,27.01,0.75,0.0,0.0,11.8,1.97
2023,October,10,1043.395,428.698,7.104,607.593,0.0,302.655,229.976,74.963,0.014,502.961,1546.37,24.172,1522.199,988.136,782.65,204.382,1.104,0.0,1491.097,31.102,1522.199,1043.409,ESCO Electricity Balance 2023,https://esco.ge/en/energy-balance/by-year-1/balansi-2023,Manual extraction from ESCO electricity balance table; corrected internal balance inconsistency,2023-10-01,0.014,58.23,41.09,0.68,0.0,0.0,0.0,2.04
2023,November,11,1003.345,363.556,6.379,633.411,-0.001,250.755,294.987,87.669,80.6,386.12,1470.065,23.95,1446.115,1033.629,830.054,202.093,1.483,0.157,1419.906,26.208,1446.115,1083.788,ESCO Electricity Balance 2023,https://esco.ge/en/energy-balance/by-year-1/balansi-2023,Manual extraction from ESCO electricity balance table; corrected internal balance inconsistency,2023-11-01,80.443,63.13,36.23,0.64,-0.0,5.57,0.02,1.81
2023,December,12,1166.455,378.224,6.295,781.937,-0.001,322.147,369.308,90.482,108.148,486.128,1760.731,23.909,1736.822,1219.444,989.326,228.618,1.501,0.01,1705.581,31.241,1736.822,1274.594,ESCO Electricity Balance 2023,https://esco.ge/en/energy-balance/by-year-1/balansi-2023,Manual extraction from ESCO electricity balance table; corrected internal balance inconsistency,2023-12-01,108.13799999999999,67.04,32.43,0.54,-0.0,6.23,0.0,1.8
2022,January,1,1024.82,507.92,6.607,510.292,0.001,193.495,268.605,48.192,406.361,185.519,1616.699,29.286,1587.414,1373.448,1040.7,331.519,1.229,2.571,1561.538,25.876,1587.414,1428.61,ESCO Electricity Balance 2022,https://esco.ge/en/energy-balance/by-year-1/elektroenergiis-balansi-2022,Manual extraction from ESCO electricity balance table,2022-01-01,403.78999999999996,49.79,49.56,0.64,0.0,25.6,0.25,1.63
2022,February,2,889.82,443.703,5.414,440.703,0.0,155.7,244.099,40.904,357.029,168.178,1415.027,24.99,1390.037,1200.535,893.746,305.712,1.077,0.0,1368.713,21.325,1390.037,1246.849,ESCO Electricity Balance 2022,https://esco.ge/en/energy-balance/by-year-1/elektroenergiis-balansi-2022,Manual extraction from ESCO electricity balance table,2022-02-01,357.029,49.53,49.86,0.61,0.0,25.68,0.0,1.53
2022,March,3,1076.963,499.083,7.095,570.784,0.001,215.962,304.391,50.432,331.05,123.5,1531.513,29.012,1502.501,1350.232,999.211,349.768,1.253,0.013,1473.744,28.756,1502.5,1408.0,ESCO Electricity Balance 2022,https://esco.ge/en/energy-balance/by-year-1/elektroenergiis-balansi-2022,Manual extraction from ESCO electricity balance table,2022-03-01,331.03700000000003,53.0,46.34,0.66,0.0,22.03,0.0,1.91
2022,April,4,1125.414,35.026,6.467,1083.921,0.0,396.429,571.879,115.614,70.611,138.632,1334.657,14.752,1319.906,1155.595,809.947,343.967,1.68,0.158,1294.384,25.522,1319.906,1195.868,ESCO Electricity Balance 2022,https://esco.ge/en/energy-balance/by-year-1/elektroenergiis-balansi-2022,Manual extraction from ESCO electricity balance table,2022-04-01,70.453,96.31,3.11,0.57,0.0,5.35,0.01,1.93
